tid,name,longtitude,latitude
574,"Luxembourg City (Luxembourg)",6.13,49.6117
575,"Jackson Heights (NYC)",-73.8854,40.7557
576,"Salvador (Brazil)",-38.5108,-12.9711
577,"Kandahar (Afghanistan)",65.7,31.61
578,"Princeton (NJ)",-74.659,40.3487
579,"Darwin (Australia)",130.842,-12.4611
580,"Blackpool (England)",-3.05,53.8167
581,"Seneca Falls (NY)",-76.7966,42.9106
582,"Delft (Netherlands)",4.35556,52.0067
583,"Yokohama (Japan)",139.65,35.45
584,"Hanover (Germany)",9.73322,52.3705
585,"Millerton (NY)",-73.5107,41.9537
586,"Crans-sur-Sierre (Switzerland)",7.47914,46.3132
587,"Autun (France)",4.3,46.95
588,"Hamburg (Germany)",10,53.55
589,"Athens (Greece)",23.7333,37.9833
590,"Long Island City (NYC)",-73.9487,40.7448
591,"Mazatlan (Mexico)",-106.417,23.2167
592,"Gaiman (Argentina)",-65.4833,-43.2833
593,"Beirut (Lebanon)",35.5097,33.8719
594,"Salzburg (Austria)",13.044,47.7994
595,"Newport (RI)",-71.3128,41.4901
596,"Buenos Aires (Argentina)",-58.4088,-34.5761
597,"Birmingham (England)",-1.91667,52.4667
598,"Kashgar (China)",75.9797,39.4547
599,"Adelaide (Australia)",138.6,-34.9333
600,"Seaside (Fla)",-86.1416,30.321
601,"New Bedford (Mass)",-70.9342,41.6362
602,"Kitzbuhel (Austria)",12.3921,47.4464
603,"Manchester (England)",-2.23743,53.4809
604,"Kirkuk (Iraq)",44.3922,35.4681
605,"Ogden (Utah)",-111.974,41.223
606,"Nelson (British Columbia)",-117.286,49.4999
607,"Napa (Calif)",-122.286,38.2971
608,"Cuenca (Ecuador)",-78.9833,-2.88333
609,"Perugia (Italy)",12.3829,43.0967
610,"Lahore (Pakistan)",74.3436,31.5497
611,"Portsmouth (NH)",-70.7626,43.0718
612,"Hua Hin (Thailand)",99.9588,12.5706
613,"Revelstoke (British Columbia)",-118.202,50.9832
614,"Cuernavaca (Mexico)",-99.25,18.9167
615,"Broome (Australia)",122.233,-17.9667
616,"Hamilton Heights (NYC)",-73.95,40.8244
617,"Oxford (Miss)",-89.5192,34.3665
618,"Phnom Penh (Cambodia)",104.917,11.55
619,"Berlin (Germany)",13.4,52.5167
620,"Segovia (Spain)",-4.11667,40.95
621,"Granada (Spain)",-3.60667,37.1882
622,"Bridgehampton (NY)",-72.3009,40.9379
623,"Marfa (Tex)",-104.019,30.3079
624,"Addis Ababa (Ethiopia)",38.7,9.03333
625,"Ocracoke (NC)",-75.981,35.1146
626,"Kennebunkport (Me)",-70.4767,43.3618
627,"Menton (France)",7.50435,43.7765
628,"Punta Arenas (Chile)",-70.9167,-53.15
629,"Sandwich (Mass)",-70.4939,41.759
630,"Marrakesh (Morocco)",-8,31.63
631,"Manteca (Calif)",-121.216,37.7974
632,"Palermo (Italy)",13.3598,38.1158
633,"Potsdam (Germany)",13.0657,52.3989
634,"Park City (Utah)",-111.498,40.6461
635,"Bruges (Belgium)",3.225,51.2098
636,"Roosevelt (NY)",-73.589,40.6787
637,"Garrison (NY)",-73.9457,41.384
638,"Villarrica (Chile)",-72.2279,-39.2857
639,"Brighton (England)",-0.139475,50.8284
640,"Maspeth (NYC)",-73.9126,40.7232
641,"Taipei (Taiwan)",121.525,25.0392
642,"Almagro (Spain)",-3.71667,38.8833
643,"Monhegan Island (Me)",-69.3114,43.7665
644,"Belem (Brazil)",-48.5044,-1.45583
645,"Mexico City (Mexico)",-99.1386,19.4342
646,"Budapest (Hungary)",19.0833,47.5
647,"Skaneateles (NY)",-76.4291,42.947
648,"Short Hills (NJ)",-74.3254,40.7479
649,"Ossining (NY)",-73.8615,41.1629
650,"Tikrit (Iraq)",43.6769,34.5967
651,"San Jose (Costa Rica)",-84.0833,9.93333
652,"Hakone (Japan)",139.033,35.1833
653,"Newburyport (Mass)",-70.8773,42.8126
654,"Islamabad (Pakistan)",73.0591,33.61
655,"Kaesong (North Korea)",126.554,37.9708
656,"Corinth (Greece)",22.9322,37.9378
657,"Ramadi (Iraq)",43.3093,33.4235
658,"Memphis (Tenn)",-90.049,35.1495
659,"Portland (Ore)",-122.676,45.5235
660,"Baghdad (Iraq)",44.3939,33.3386
661,"Warsaw (Poland)",21,52.25
662,"San Luis Obispo (Calif)",-120.66,35.2828
663,"Bucharest (Romania)",26.1,44.4333
664,"Nancy (France)",6.2,48.6833
665,"Jacksonville (Fla)",-81.6556,30.3322
666,"Beslan (Russia)",44.5388,43.1919
667,"Reykjavik (Iceland)",-21.9423,64.146
668,"Heidelberg (Germany)",8.69079,49.4077
669,"Plovdiv (Bulgaria)",24.75,42.15
670,"Sausalito (Calif)",-122.485,37.8591
671,"New Paltz (NY)",-74.0868,41.7476
672,"Moab (Utah)",-109.55,38.5733
673,"Interlaken (Switzerland)",7.85,46.6833
674,"Assisi (Italy)",12.6165,43.0691
675,"Qingdao (China)",120.372,36.0986
676,"Gijon (Spain)",-5.66444,43.5411
677,"Dunedin (New Zealand)",170.504,-45.8742
678,"Houston (Tex)",-95.3633,29.7633
679,"Leeds (England)",-1.54785,53.7965
680,"Fortaleza (Brazil)",-38.5431,-3.71722
681,"Port Jefferson (NY)",-73.0693,40.9465
682,"Saratoga Springs (NY)",-73.7846,43.0831
683,"Phoenix (Ariz)",-112.074,33.4484
684,"San Jose del Cabo (Mexico)",-109.683,23.05
685,"La Jolla (Calif)",-117.274,32.8473
686,"Key West (Fla)",-81.7915,24.5546
687,"Chappaqua (NY)",-73.7649,41.1595
688,"Oxnard (Calif)",-119.177,34.1975
689,"New London (Conn)",-72.0995,41.3557
690,"Athenry (Ireland)",-8.74306,53.2964
691,"Mobile (Ala)",-88.0431,30.6944
692,"Innsbruck (Austria)",11.3945,47.2627
693,"Siena (Italy)",11.3328,43.32
694,"Santa Cruz (Calif)",-122.031,36.9741
695,"Manhattan (NYC)",-74.006,40.7143
696,"Urumqi (China)",87.5833,43.8
697,"Juneau (Alaska)",-134.42,58.3019
698,"Islamorada (Fla)",-80.6278,24.9243
699,"Chiang Mai (Thailand)",98.9817,18.7903
700,"Huntsville (Ala)",-86.5861,34.7304
701,"Park Slope (NYC)",-73.986,40.6701
702,"Jakarta (Indonesia)",106.829,-6.17444
703,"Goteborg (Sweden)",11.9668,57.7072
704,"Poughkeepsie (NY)",-73.921,41.7004
705,"Jamaica (NYC)",-73.8057,40.6915
706,"Peekskill (NY)",-73.9204,41.2901
707,"Kobe (Japan)",135.167,34.6833
708,"Natchez (Miss)",-91.4032,31.5604
709,"San German (Puerto Rico)",-67.0449,18.0816
710,"Dijon (France)",5.01667,47.3167
711,"Naples (Fla)",-81.7948,26.142
712,"Ottawa (Ontario)",-75.6903,45.4209
713,"Birkenau (Poland)",15.0333,51.9667
714,"Ani (Turkey)",43.5667,40.5333
715,"Isle of Palms (SC)",-79.7948,32.7868
716,"Bangalore (India)",77.6033,12.9762
717,"Rehoboth Beach (Del)",-75.076,38.7209
718,"Khartoum (Sudan)",32.5342,15.5881
719,"Graz (Austria)",15.45,47.0667
720,"Milan (Italy)",9.18951,45.4643
721,"New Delhi (India)",77.2311,28.6128
722,"Ljubljana (Slovenia)",14.5144,46.0553
723,"Milford (Conn)",-73.0565,41.2223
724,"Portofino (Italy)",9.20942,44.3035
725,"New Canaan (Conn)",-73.4948,41.1468
726,"Carmel (Calif)",-121.923,36.5552
727,"Spoleto (Italy)",12.7374,42.7448
728,"Corona (NYC)",-73.8601,40.747
729,"Morningside Heights (NYC)",-73.9625,40.81
730,"Morelia (Mexico)",-101.184,19.7008
731,"Ferrara (Italy)",11.6207,44.8268
732,"Pittsburgh (Pa)",-79.9959,40.4406
733,"Beverley (England)",-0.423317,53.8459
734,"Sao Paulo (Brazil)",-46.6361,-23.5475
735,"Sedona (Ariz)",-111.761,34.8697
736,"Ithaca (NY)",-76.4966,42.4406
737,"Lima (Peru)",-77.05,-12.05
738,"Florence (Italy)",11.25,43.7667
739,"New York City",-74.006,40.7143
740,"Alta (Utah)",-111.638,40.5888
741,"Dingle (Ireland)",-10.2689,52.1408
742,"Dar es Salaam (Tanzania)",39.2833,-6.8
743,"Barcelona (Spain)",2.15899,41.3888
744,"Knoxville (Tenn)",-83.9207,35.9606
745,"Palm Beach (Fla)",-80.0364,26.7056
746,"Regensburg (Germany)",12.0956,49.015
747,"Perth (Australia)",115.833,-31.9333
748,"Lucerne (Switzerland)",8.30635,47.0505
749,"Vladivostok (Russia)",131.874,43.1056
750,"Lake Placid (NY)",-73.9799,44.2795
751,"Essaouira (Morocco)",-9.76,31.51
752,"Carcassonne (France)",2.35,43.2167
753,"Amagansett (NY)",-72.1437,40.9737
754,"Dalian (China)",121.602,38.9122
